id,name,measurement_unit
1178,ореховое масло,мл
1179,ореховый ликер,мл
1180,ореховый соус,г
1181,осетр,г
1182,осетрина холодного копчения,г
1183,осьминог,г
1184,осьминоги консервированные,г
1185,осьминоги мини,г
1186,отруби,г
1187,ошеек,г
1188,пагр,г
1189,пажитник,г
1190,пажитник семена,г
1191,палтус,г
1192,пальмовое масло,мл
1193,пангасиус,г
1194,панеттоне,г
1195,Панифарин,г
1196,панчетта,г
1197,папайя,г
1198,папайя консервированная в собственном соку,г
1199,папоротник,г
1200,папоротник соленый,г
1201,паппарделле,г
1202,паприка,г
1203,паприка копченая,г
1204,паприка красная,г
1205,паприка красная молотая,г
1206,паприка острая копченая,г
1207,паприка сладкая,г
1208,паприка сладкая копченая,г
1209,паприка сладкая хлопьями,г
1210,пармезан,г
1211,паста,г
1212,паста веджимайт,г
1213,паста тахини,г
1214,паста хариса,г
1215,пастернак,г
1216,пастила,г
1217,пастила виноградная,г
1218,патиссоны,г
1219,патока,г
1220,патока крахмальная,г
1221,патока черная (меласса),г
1222,пахта,г
1223,паштет,г
1224,пекарский порошок,г
1225,пекорино,г
1226,пектин,г
1227,пеленгас,г
1228,пельмени,г
1229,пенне,г
1230,пенне ригате,г
1231,пеперончино,г
1232,пеперончино молотый,г
1233,переводной лист для шоколада,шт.
1234,перепелки,г
1235,перец,г
1236,перец белый,г
1237,перец белый горошком,г
1238,перец белый молотый,г
1239,перец белый свежемолотый,ч. л.
1240,перец болгарский,г
1241,перец болгарский желтый,г
1242,перец болгарский зеленый,г
1243,перец болгарский красный,г
1244,перец горошком,г
1245,перец горошком смесь,г
1246,перец душистый,г
1247,перец душистый горошком,г
1248,перец душистый молотый,г
1249,перец испанский острый,г
1250,перец кайенский,г
1251,перец кайенский красный,г
1252,перец кайенский молотый,г
1253,перец красный,г
1254,перец красный горошком,г
1255,перец красный жгучий,г
1256,перец красный молотый,г
1257,перец красный острый,г
1258,перец красный острый молотый,г
1259,перец красный хлопьями,г
1260,перец лимонный,г
1261,перец маринованный,г
1262,перец острый,г
1263,перец острый зеленый,г
1264,перец острый молотый,г
1265,перец падрон,г
1266,перец пеперони,г
1267,перец пеперони красный,г
1268,перец розовый горошком,г
1269,перец свежемолотый смесь,г
1270,перец сенегальский,г
1271,перец сладкий,г
1272,перец сладкий желтый,г
1273,перец сладкий зеленый,г
1274,перец сладкий красный,г
1275,перец сладкий красный маринованный,г
1276,перец сладкий красный молотый,г
1277,перец сладкий оранжевый,г
1278,перец сладкий сушеный,г
1279,перец сычуаньский,г
1280,перец халапеньо,г
1281,перец халапеньо маринованный,г
1282,перец черный,г
1283,перец черный горошком,г
1284,перец черный молотый,г
1285,перец черный свежемолотый,г
1286,перец чили,г
1287,перец чили зеленый,г
1288,перец чили красный,г
1289,перец чили маринованный,г
1290,перец чили молотый,г
1291,перец чили сухой,г
1292,перец чили хлопьями,г
1293,перец ямайский,г
1294,перловая крупа,г
1295,перловая мука,г
1296,персики,г
1297,персики консервированные,г
1298,персики сушеные,горсть
1299,персиковое пюре,г
1300,персиковый джем,г
1301,персиковый мармелад,г
1302,персиковый сироп,мл
1303,персиковый сок,мл
1304,перцовая паста,г
1305,петрушка,г
1306,петрушка зелень,г
1307,петрушка итальянская,г
1308,петрушка корень,г
1309,петрушка рубленая,г
1310,петрушка сушеная,г
1311,печень,г
1312,печенье,г
1313,печенье Oreo,г
1314,печенье Амаретти,г
1315,печенье бисквитное,г
1316,печенье галетное,шт.
1317,печенье «Дамские пальчики»,г
1318,печенье песочное,г
1319,печенье рассыпчатое,г
1320,печенье Савоярди,г
1321,печенье сахарное,г
1322,печенье сладкое,г
1323,печенье сухое,г
1324,печенье шоколадное,г
1325,печенье Юбилейное молочное,г
1326,пиво,мл
1327,пиво имбирное,мл
1328,пиво нефильтрованное,мл
1329,пиво светлое,мл
1330,пиво темное,мл
1331,пикша,шт.
1332,питы,г
1333,повидло,г
1334,подсолнечное масло,мл
1335,подсолнечные семечки,г
1336,полба,г
1337,полба недозрелая,г
1338,полента,г
1339,полента быстрого приготовления,г
1340,помело,г
1341,помидоры,г
1342,помидоры бурые,г
1343,помидоры вяленые,мл
1344,помидоры вяленые в масле,г
1345,помидоры желтые,г
1346,помидоры зеленые,г
1347,помидоры консервированные,г
1348,помидоры консервированные в собственном соку,г
1349,помидоры консервированные в собственном соку с базиликом,г
1350,помидоры протертые пассата,г
1351,помидоры соленые,г
1352,помидоры сушеные хлопьями,г
1353,помидоры черри,г
1354,помидоры черри желтые,г
1355,попкорн,г
1356,поросенок,г
1357,портвейн,мл
1358,портобелло,г
1359,портулак,г
1360,посыпка кондитерская,г
1361,почки,г
1362,приправа 4 перца,г
1363,приправа 5 специй (five spice),ч. л.
1364,приправа для баранины,ст. л.
1365,приправа для картофеля,г
1366,приправа для курицы,г
1367,приправа для макарон,г
1368,приправа для маринования свинины,г
1369,приправа для морепродуктов,г
1370,приправа для мяса,г
1371,приправа для паэльи,г
1372,приправа для пиццы,г
1373,приправа для плова,г
1374,приправа для птицы,г
1375,приправа для рыбы,г
1376,приправа для салатов,г
1377,приправа заатар,г
1378,приправа креольская,г
1379,приправа с сушеными грибами,г
1380,приправы,г
1381,прованские травы,г
1382,проволоне,г
1383,просекко,мл
1384,простокваша,мл
1385,протеин сывороточный,г
1386,прошутто,г
1387,пряники,г
1388,пряничные специи,г
1389,пряности,г
1390,псиллиум,г
1391,птитим,г
1392,пудинг,г
1393,пудинг ванильный,г
1394,пудинг ванильный инстант,г
1395,пудинг карамельный,г
1396,пшеница,г
1397,пшеничная крупа,г
1398,пшеничная мука,г
1399,пшеничная мука цельнозерновая,г
1400,пшеничные зародыши,г
1401,пшеничные отруби,г
1402,пшеничные ростки,г
1403,пшеничные хлопья,г
1404,пшенные хлопья,г
1405,пшено,г
1406,пыльца цветочная,г
1407,пюре,г
1408,радиккио,шт.
1409,разрыхлитель,г
1410,раки,г
1411,раковые шейки,г
1412,раковые шейки в рассоле,г
1413,рамбутан,г
1414,рапаны,г
1415,рапсовое масло,мл
1416,рассол,мл
1417,рассол от каперсов,мл
1418,рассол от оливок,мл
1419,растительное масло,мл
1420,растительное масло для жарки,мл
1421,растительное масло нерафинированное,мл
1422,растительное масло рафинированное,мл
1423,растительное молоко,мл
1424,ревень,г
1425,реган,веточка
1426,редис,г
1427,редька,г
1428,редька белая,г
1429,редька зеленая,г
1430,редька черная,г
1431,репа,г
1432,репа белая,г
1433,ржаная закваска,г
1434,ржаная закваска густая,г
1435,ржаная мука,г
1436,ржаные отруби,г
1437,ригатони,г
1438,рикотта,г
1439,рикотта твердая,г
1440,рис,г
1441,рис арборио,г
1442,рис басмати,г
1443,рис бурый,г
1444,рис бурый и дикий смесь,г
1445,рис вареный,г
1446,рис виола,г
1447,рис девзира,г
1448,рис дикий,г
1449,рис дикий и золотистый смесь,г
1450,рис длиннозерный,г
1451,рис длиннозерный золотистый,г
1452,рис для плова,г
1453,рис для пудинга,г
1454,рис для ризотто,г
1455,рис для суши,г
1456,рис жасминовый,г
1457,рис золотистый,г
1458,рис индика,г
1459,рис италика,г
1460,рис карнароли,г
1461,рис красный,г
1462,рис круглозерный,г
1463,рис кубанский,г
1464,рисовая бумага,г
1465,рисовая лапша,г
1466,рисовая мука,г
1467,рисовое вино,мл
1468,рисовые хлопья,г
1469,рисовые шарики воздушные,г
1470,рисовый крахмал,г
1471,рисовый уксус,мл
1472,рис пропаренный,г
1473,рис пропаренный и дикий смесь,г
1474,рис японика,г
1475,рожь,г
1476,розмарин,г
1477,розмарин сушеный,г
1478,розовая вода,мл
1479,розовые бутоны сушеные,г
1480,розовые лепестки,г
1481,розы,г
1482,рокфор,г
1483,ром,мл
1484,ромашка сушеная,г
1485,ромовый экстракт,ч. л.
1486,ром темный,мл
1487,ростбиф,г
1488,рукола,г
1489,рулька,г
1490,рыба,г
1491,рыба белая,г
1492,рыба белая филе,г
1493,рыба консервированная,г
1494,рыба копченая,г
1495,рыба копченая филе,г
1496,рыба красная,г
1497,рыба красная соленая,г
1498,рыба красная филе,г
1499,рыба-меч,г
1500,рыба морская,г
1501,рыба солнечник филе,г
1502,рыба-соль,г
1503,рыбное филе,г
1504,рыбные консервы,г
1505,рыбные кости,г
1506,"рыбные обрезки, головы, плавники",г
1507,рыбный бульон,г
1508,рыбный соус,г
1509,рыбный соус Nam Pla,г
1510,рыбный соус тайский,г
1511,рыбный фарш,г
1512,рябина черноплодная,г
1513,рябчик,г
1514,ряженка,мл
1515,ряженка 4%,мл
1516,сайда,г
1517,сайда филе,г
1518,сайра,г
1519,сайра консервированная,г
1520,саке,мл
1521,салака,г
1522,салат,г
1523,салат айсберг,г
1524,салат китайский,г
1525,салат корн,г
1526,салат кочанный,г
1527,салат кучерявый,г
1528,салат листовой,г
1529,салатный микс,г
1530,салат романо,г
1531,салат фриссе,г
1532,сало,г
1533,сало копченое в перце,г
1534,сало копченое с мясными прослойками,г
1535,сало с мясными прослойками,г
1536,сальник,г
1537,сальса,г
1538,сальса верде,ч. л.
1539,салями,г
1540,салями итальянская,г
1541,сардельки,г
1542,сардельки копченые,г
1543,сардинки маленькие,г
1544,сардины,г
1545,сардины в масле,г
1546,сахар,г
1547,сахар ванильный,г
1548,сахар демерара,г
1549,сахар жемчужный,г
1550,сахар коричневый,г
1551,сахар коричневый крупнокристаллический,г
1552,сахар мусковадо,г
1553,сахарная пудра,г
1554,сахарная пудра апельсиновая,г
1555,сахарная пудра ванильная,г
1556,сахарные жемчужинки,г
1557,сахарные кондитерские украшения,г
1558,сахарный песок,г
1559,сахарный песок крупный,г
1560,сахарный песок мелкий,г
1561,сахарный сироп,г
1562,сахар пальмовый,г
1563,сахар-рафинад,г
1564,сахар-рафинад с корицей,г
1565,сахар тростниковый,г
1566,сванская соль,г
1567,свекла,г
1568,свекла вареная,г
1569,свекольная ботва,г
1570,свекольные листья,г
1571,свиная вырезка,г
1572,свиная голова,г
1573,свиная грудинка,г
1574,свиная корейка,г
1575,свиная корейка копченая,г
1576,свиная корейка на кости,г
1577,свиная лопатка варено-копченая,г
1578,свиная мякоть,г
1579,свиная пашина,г
1580,свиная печень,г
1581,свиная рулька,г
1582,свиная рулька варено-копченая,г
1583,свиная рулька копченая,г
1584,свиная шейка,кусок
1585,свинина,г
1939,фетаки,г
1586,свинина вареная,г
1587,свинина нежирная,г
1588,свинина с жирком,г
1589,свиное сердце,г
1590,свиное филе,г
1591,свиной подчеревок,г
1592,свиной фарш,г
1593,свиной язык,г
1594,свиные котлеты на косточке,шт.
1595,свиные легкие,г
1596,свиные ножки,г
1597,свиные отбивные,г
1598,свиные отбивные на косточке,г
1599,свиные ребра,г
1600,свиные уши,шт.
1601,свиные щечки,шт.
1602,свити,г
1603,сельдерей,г
1604,сельдерей зелень,г
1605,сельдерей корень,г
1606,сельдерей корень сушеный,г
1607,сельдерейная соль,г
1608,сельдерей семена,г
1609,сельдерей стебли,г
1610,сельдь,г
1611,сельдь слабосоленая,г
1612,сельдь соленая,шт.
1613,сельдь филе,г
1614,семга,г
1615,семга копченая,г
1616,семга свежая,г
1617,семга соленая,г
1618,семга филе на коже,г
1619,семечки,г
1620,семечки смесь,г
1621,семолина,г
1622,сервелат варено-копченый,г
1623,сибас,г
1624,сидр,мл
1625,сироп,мл
1626,сироп от консервированных груш,мл
1627,сироп от консервированных персиков,мл
1628,сироп топинамбура,мл
1629,скумбрия,г
1630,скумбрия свежая,г
1631,скумбрия филе,г
1632,скумбрия холодного копчения,г
1633,сливки,мл
1634,сливки 10-20%,мл
1635,сливки 15%,мл
1636,сливки 20%,мл
1637,сливки 33-35%,мл
1638,сливки жирные,мл
1639,сливки кондитерские,мл
1640,сливовая паста,г
1641,сливовое варенье,г
1642,сливовое вино,мл
1643,сливовый джем,г
1644,сливовый ликер,мл
1645,сливовый соус,г
1646,сливочное масло,г
1647,сливы,г
1648,сливы замороженные,г
1649,смалец,г
1650,смесь для кекса,г
1651,смесь для оладий,г
1652,смесь для хлеба 8 злаков,г
1653,сметана,г
1654,сметана 10%,г
1655,сметана 15%,г
1656,сметана 18%,г
1657,сметана 20%,г
1658,сметана 25%,г
1659,сметана 30%,г
1660,сметана 35%,г
1661,сметана жирная,г
1662,сметана нежирная,г
1663,сметана некислая,г
1664,смородина сушеная,г
1665,смородиновые листья,г
1666,сморчки сухие,г
1667,снежок,мл
1668,сныть,г
1669,сода,г
1670,соевая мука,г
1671,соевое масло,г
1672,соевое молоко,мл
1673,соевые ростки,г
1674,соевый соус,г
1675,сок,мл
1676,сок из красных апельсинов,мл
1677,сок мультивитаминный,мл
1678,сок юзу,мл
1679,солод,г
1680,солод жидкий,мл
1681,солодовый экстракт,г
1682,солод темный,г
1683,соломка,г
1684,соль,г
1685,соль гималайская,г
1686,соль крупного помола,г
1687,соль морская,г
1688,сом филе,г
1689,сосиски,г
1690,сосиски из куриного фарша,г
1691,сосиски копченые,г
1692,соус,г
1693,соус black bean,г
1694,соус sambal oelek,г
1695,соус барбекю,г
1696,соус краснодарский,г
1697,соус красный острый,г
1698,соус мирин,г
1699,соус наршараб,г
1700,соус острый,г
1701,соус песто,г
1702,соус сацебели,г
1940,фетакса,г
1703,соус табаско,капля
1704,соус терияки,г
1705,соус ткемали,г
1706,соус ткемали благородный,г
1707,соус ткемали ранний,г
1708,соус устричный,г
1709,соус чили,г
1710,соус чили сладкий,г
1711,соус экзотический,г
1712,соя,г
1713,спагетти,г
1714,спагетти № 3,г
1715,спагетти № 5,г
1716,спагетти лунги,г
1717,спаржа,г
1718,спаржа белая,г
1719,спаржа зеленая,г
1720,спаржа молодая,г
1721,спек,г
1722,спельта,г
1723,спельтовая (полбяная) мука,г
1724,специи,г
1725,спирт,мл
1726,спирулина порошок,г
1727,спред,г
1728,ставрида,г
1729,стейк семги,г
1730,стеклянная лапша,г
1731,страчателла,г
1732,судак,г
1733,судак филе,г
1734,судак филе на коже,г
1735,сулугуни,г
1736,сулугуни копченый,г
1737,сумах,г
1738,суповой набор,г
1739,сухари,г
1740,сухари белые,г
1741,сухари молотые,г
1742,сухари панировочные,г
1743,сухари ржаные,г
1744,сухарная крошка,г
1745,сухофрукты,г
1746,сухофрукты тропические,г
1747,сушки,г
1748,сыворотка,г
1749,сыр,г
1750,сыр tete de moine,г
1751,сыр Австрия блю,г
1752,сыр адыгейский,г
1753,сыр бри,г
1754,сыр буко,г
1755,сыр гауда,г
1756,сыр гойя,г
1757,сыр голландский,г
1758,сыр голубой,г
1759,сыр гравьера,г
1760,сыр джугас,г
1761,сыр домашний,г
1762,сыр дорблю,г
1763,сыр имеретинский,г
1764,сыр кефалотири,г
1765,сырки творожные,г
1766,сыр козий мягкий,г
1767,сыр козий твердый,г
1768,сыр колбасный,г
1769,сыр копченый,г
1770,сыр коттедж,г
1771,сыр Маскарпоне,г
1772,сыр мраморный,г
1773,сыр мягкий,г
1774,сыр овечий,г
1775,сыр панир,г
1776,сыр пеше миньон,г
1777,сыр плавленый,г
1778,сыр плавленый шоколадный,г
1779,сыр пластинками,г
1780,сыр полутвердый,г
1781,сыр провола,г
1782,сыр российский,г
1783,сыр скаморца,г
1784,сыр скаморца копченый,г
1785,сыр сливочный,г
1786,сыр с плесенью,г
1787,сыр с плесенью мягкий,г
1788,сыр твердый,г
1789,сыр филадельфия,г
1790,сыр фонтина,г
1791,сыр хаварти,г
1792,сыр швейцарский,г
1793,сычужный фермент,ч. л.
1794,таледжо,г
1795,тальолини,г
1796,тальятелле,г
1797,тальятелле-гнезда,г
1798,тамаринд,г
1799,тамариндовая паста,г
1800,тапиока,г
1801,тарталетки,г
1802,тартар,г
1803,тархун,г
1804,творог,г
1805,творог 18%,г
1806,творог 2%,г
1807,творог 5%,г
1808,творог 9%,г
1809,творог жирный,г
1810,творог зерненый,г
1811,творог обезжиренный,г
1812,творожная масса,г
1813,творожная паста,г
1814,творожный сыр,г
1815,творожный сыр соленый,г
1816,творожок клубничный,г
1817,текила,мл
1818,телятина,г
1819,телятина вареная,г
1820,телячий фарш,г
1821,телячьи отбивные на косточке,шт.
1822,телячьи шницели,г
1823,телячьи эскалопы,г
1824,телячья вырезка,г
1825,телячья печень,г
1826,телячья щека,г
1827,тесто бездрожжевое,г
1828,тесто готовое,г
1829,тесто для вонтонов,г
1830,тесто для пиццы,г
1831,тесто дрожжевое,г
1832,тесто катаифи,г
1833,тесто макаронное,г
1834,тесто макаронное для лазаньи,г
1835,тесто пельменное,г
1836,тесто песочное,г
1837,тесто пресное,г
1838,тесто пряничное,г
1839,тесто слоеное,г
1840,тесто слоеное бездрожжевое,г
1841,тесто слоеное дрожжевое,г
1842,тесто фило,г
1843,тилапия,г
1844,тилапия филе,г
1845,тильзитер,г
1846,тимьян,г
1847,тимьян лимонный,г
1848,тимьян свежий,г
1849,тимьян сушеный,г
1850,ткемали,г
1851,тмин,г
1852,тмин молотый,г
1853,томатная паста,г
1854,томатное пюре,г
1855,томатный концентрат,г
1856,томатный порошок,г
1857,томатный сок,мл
1858,томатный соус,г
1859,томатный соус итальянский,г
1860,томатный соус острый,г
1861,томатный соус с базиликом,г
1862,тоник,мл
1863,топинамбур,г
1864,топленое масло,г
1865,тортильи,шт.
1866,тортильони,г
1867,тофу,г
1868,травы ароматные,г
1869,травы пряные с перцем,г
1870,травы сухие,г
1871,треска,г
1872,треска печень,г
1873,треска филе,г
1874,трюфель,г
1875,трюфельная крошка,г
1876,трюфельное масло,г
1877,трюфель черный,г
1878,тунец,г
1879,тунец консервированный,г
1880,тунец филе,г
1881,тушенка,г
1882,тыква,г
1883,тыквенное масло,г
1884,тыквенное пюре,г
1885,тыквенные семечки,г
1886,тюлька свежая,г
1887,угорь,г
1888,угорь копченый,г
1889,угурт,г
1890,укроп,г
1891,укропное семя,г
1892,укроп свежий,г
1893,укроп сушеный,г
1894,уксус,мл
1895,уксус 9%,мл
1896,уксус из сидра,мл
1897,уксусная эссенция,мл
1898,уксус столовый,мл
1899,улитки,г
1900,улитки виноградные,г
1901,урюк,г
1902,устрицы,г
1903,утиная грудка,г
1904,утиная печень,г
1905,утиное филе,г
1906,утиные бедрышки,г
1907,утиные ножки,г
1908,утка,г
1909,утка печеная,г
1910,утка тушка,г
1911,уцхо-сунели,г
1912,фазан,г
1913,фарш (баранина и говядина),г
1914,фарш (свинина и курица),г
1915,фасоль,г
1916,фасоль белая,г
1917,фасоль белая консервированная,г
1918,фасоль белая лима,г
1919,фасоль зеленая стручковая,г
1920,фасоль кенийская,г
1921,фасоль кидни красная,г
1922,фасоль консервированная,г
1923,фасоль красная,г
1924,фасоль красная вареная,г
1925,фасоль красная консервированная,г
1926,фасоль молодая замороженная,г
1927,фасоль пинто,г
1928,фасоль спаржевая вареная,г
1929,фасоль стручковая,г
1930,фасоль стручковая замороженная,г
1931,фасоль стручковая консервированная,г
1932,фасоль черный глаз,г
1933,фейхоа,г
1934,фенхель,г
1935,фенхель семена,г
1936,фенхель семена молотые,г
1937,фестонате,г
1938,фета,г
1941,феттучине,г
1942,фиалки засахаренные,г
1943,фиалковый сироп,мл
1944,физалис,г
1945,филе красного окуня,г
1946,филе лосося,г
1947,филе палтуса,г
1948,финики,г
1949,финики без косточек,г
1950,финики иранские,г
1951,финики иранские без косточек,г
1952,фисташки,г
1953,фисташки очищенные,г
1954,фисташки очищенные несоленые,г
1955,фисташки рубленые,г
1956,фисташковая мука,г
1957,фисташковая паста,г
1958,фисташковое масло,г
1959,фокачча,г
1960,форель,г
1961,форель вареная,г
1962,форель горячего копчения,г
1963,форель озерная свежая,г
1964,форель слабосоленая,г
1965,форель стейки,г
1966,форель филе,г
1967,форель холодного копчения,г
1968,фрикадельки,г
1969,фрукт дракона,г
1970,фруктовый сироп,мл
1971,фруктовый сок,мл
1972,фруктовый сок без сахара,мл
1973,фруктоза,г
1974,фрукты,г
1975,фрукты консервированные,г
1976,фундук,г
1977,фундучная мука,г
1978,фунчоза,г
1979,халва,г
1980,халва ванильная,г
1981,халва подсолнечная,г
1982,халуми,г
1983,хамон,г
1984,хек,г
1985,хек филе,г
1986,херес,мл
1987,хересный уксус,мл
1988,хлеб,г
1989,хлеб 7 злаков,батон
1990,хлеб белый,г
1991,хлеб белый сухой,г
1992,хлеб бородинский,г
1993,хлеб датский ржаной,г
1994,хлеб для сэндвичей,г
1995,хлебная крошка,г
1996,хлеб ржаной,г
1997,хлеб серый,г
1998,хлеб с кунжутом,г
1999,хлеб цельнозерновой,г
2000,хлебцы пшенично-ржаные цельнозерновые,г
2001,хлопья 4 злака,г
2002,хлопья 5 злаков,г
2003,хлопья 7 злаков,ст. л.
2004,хлопья быстрого приготовления,г
2005,хлорид кальция,г
2006,хмели-сунели,г
2007,хмель,г
2008,хрен,г
2009,хрен протертый,г
2010,хрен со сливками,г
2011,хурма,г
2012,хурма спелая,г
2013,цесарка тушка,г
2014,цикорий,г
2015,цитроновые цукаты,г
2016,цитрусовые цукаты,г
2017,цитрусовый свежевыжатый сок,мл
2018,цукаты,г
2019,цукини,г
2020,цукини цветы,г
2021,цыплята,г
2022,цыплята-корнишоны,шт.
2023,чабер,г
2024,чабрец,г
2025,чабрец сушеный,г
2026,чай дарджилинг,г
2027,чай жасминовый,г
2028,чай зеленый,г
2029,чай копченый лапсанг сушонг,г
2030,чай красный,г
2031,чай ройбуш,г
2032,чай черный,г
2033,чай черный крупнолистовой,г
2034,чай черный со специями,г
2035,чай эрл грей,г
2036,чатни манго,г
2037,чеддер,г
2038,черемуха,г
2039,черемуховая мука,г
2040,черемша,г
2041,черешневый джем,г
2042,черешня,г
2043,черешня консервированная без косточек,г
2044,черная смородина,г
2045,черника,г
2046,черника замороженная,г
2047,чернила каракатицы,г
2048,черничный джем,г
2049,чернослив,г
2050,чернослив без косточек,г
2051,чернослив вяленый,г
2052,чернослив копченый без косточек,г
2053,черносмородиновое варенье,г
2054,черносмородиновый джем,г
2055,чеснок,г
2056,чеснок молодой,г
2057,чеснок сушеный,г
2058,чесночная соль,г
2059,чесночное масло,мл
2060,чесночный порошок,г
2061,чечевица,г
2062,чечевица вареная,г
2063,чечевица зеленая,г
2064,чечевица красная,г
2065,чечил спагетти,г
2066,чиабатта,г
2067,чиа семена,г
2068,чипотле молотый,г
2069,чипсы,г
2070,чоризо,г
2071,шалфей,г
2072,шалфей свежий,г
2073,шалфей сушеный,г
2074,шампанское,г
2075,шампанское советское,мл
2076,шампанское сухое,мл
2077,шампиньоны,г
2078,шампиньоны замороженные,г
2079,шампиньоны консервированные,г
2080,шампиньоны маринованные,г
2081,шампиньоны свежие,г
2082,шафран,г
2083,шафран имеретинский,г
2084,шафран молотый,ч. л.
2085,шафран нити,шт.
2086,шелковица,г
2087,шелковица сушеная,г
2088,шиповник,г
2089,шиповниковый сироп,мл
2090,шнапс,мл
2091,шнитт-лук,г
2092,шоколад,г
2093,шоколад белый,г
2094,шоколад горький с апельсиновой цедрой,г
2095,шоколад молочный,г
2096,шоколад мятный,г
2097,шоколадная паста,г
2098,шоколадная стружка,г
2099,шоколадное масло,г
2100,шоколадно-ореховая паста,г
2101,шоколадные горошины,г
2102,шоколадные капли,г
2103,шоколадные капли белые,г
2104,шоколадные конфеты,г
2105,шоколадные хлопья,г
2106,шоколадные шарики из готовых завтраков,г
2107,шоколадный ликер,мл
2108,шоколадный сироп,мл
2109,шоколадный соус,г
2110,шоколад полусладкий,г
2111,шоколад с орехами,г
2112,шоколад черный горький,г
2113,шоколад черный горький 70%,г
2114,шоколад черный горький 75%,ч. л.
2115,шоколад черный горький 85%,г
2116,шортенинг,г
2117,шпик,г
2118,шпик копченый,г
2119,шпинат,г
2120,шпинат замороженный,г
2121,шпинат молодой,г
2122,шпинат свежий,г
2123,шпроты,г
2124,шпроты в масле,г
2125,шрот,г
2126,щавель замороженный,г
2127,щавель свежий,г
2128,щука,г
2129,щука филе,г
2130,эгг-ног,г
2131,эдам,г
2132,эль,мл
2133,эмменталь,г
2134,эскалоп,г
2135,эстрагон,г
2136,эстрагон сушеный,г
2137,яблоки,г
2138,яблоки антоновка,г
2139,яблоки гала,г
2140,яблоки голден,г
2141,яблоки гренни смит,г
2142,яблоки зеленые,г
2143,яблоки красные,г
2144,яблоки моченые,г
2145,яблоки нетвердых сортов,г
2146,яблоки сладкие,г
2147,яблоки сушеные,г
2148,яблочная эссенция,г
2149,яблочное варенье,г
2150,яблочное повидло,г
2151,яблочное пюре,г
2152,яблочные чипсы,г
2153,яблочный джем,г
2154,яблочный сироп,мл
2155,яблочный сок,мл
2156,яблочный соус,г
2157,яблочный уксус,мл
2158,ягнятина,г
2159,ягнятина кострец,г
2160,ягнятина фарш,г
2161,ягнячьи отбивные на косточке,г
2162,ягнячья голень нарубленная,г
2163,ягнячья корейка,г
2164,ягодное варенье,г
2165,ягодное желе,г
2166,ягодный сироп,мл
2167,ягодный сок,мл
2168,ягодный соус кислый,г
2169,ягоды,г
2170,ягоды вяленые,г
2171,ягоды замороженные,г
2172,ягоды лесные,г
2173,ягоды лесные замороженные,г
2174,яичные белки,г
2175,яичные желтки,г
2176,яичные желтки вареные,шт.
2177,яичные желтки крупные,г
2178,яичный меланж,г
2179,яичный порошок,г
2180,яйца куриные,г
2181,яйца куриные крупные,г
2182,яйца перепелиные,г
2183,японская крошка панко,г
2184,ячменные хлопья,г
2185,ячмень,г
2186,ячневая крупа,г
